orthographe	phonetique
Anna	anna
l	l
A7	asEt
ABB	abebe
ABCD	abesede
ABM	abeEm
ABS	abeEs
ACCT	asesete
ADN	adeEn
AELE	a@El9
AFP	aEfpe
AGEFI	aZefi
ALENA	alena
ANPE	aEnpe9
AOC	aose
ASCII	aski
ASP	aEspe
ATT	atete
AVS	aveEs
Abidjan	abidZA
Académie	akademi
Académies	akademi
Acropole	akROpOl
Adam	adA
Addis-Abeba	adisabeba
Adriatique	adRijatik
Afghanistan	afganistA
Africain	afRike~
Africains	afRike~
Afrique	afRik
Agence	aZAs
Agences	aZAs
Agnès	anjEs
Airbus	ERbys
Ajaccio	aZaksjo
Alabama	alabama
Alain	ale~
Alaska	alaska
Albanie	albani
Albert	albER
Alberta	albERta
Albertville	albERvil
Alcatel	alkatEl
Alcron	alkRN
Alexandrie	alEksAdRi
Alexie	alEksi
Alger	alZe
Algérie	alZeRi
Algérien	alZeRje~
Algérienne	alZeRjEn
Algériennes	alZeRjEn
Algériens	alZeRje~
Alicante	alikAt
Aline	alin
Allah	ala
Allard	alaR
Allemagne	al@manj
Allemagnes	al@manj
Allemand	al@mA
Allemande	al@mAd
Allemandes	al@mAd
Allemands	al@mA
Allégret	alegRE
Alpes	alp
Alsace	alzas
Alsacien	alzasje~
Alsacienne	alzasjEn
Alsaciennes	alzasjEn
Alsaciens	alzasje~
Altesse	altEs
Altesses	altEs
Alzheimer	alzajm9R
Amadeus	amadeys
Amazone	amazon
Amazonie	amazOni
Amsterdam	amstERdam
Amélie	ameli
Américain	ameRike~
Américaine	ameRikEn
Américaines	ameRikEn
Américains	ameRike~
Amérindien	ameRe~dje~
Amérindiens	ameRe~dje~
Amérique	ameRik
Amériques	ameRik
Anatolie	anatOli
Ancône	Akon
Andes	Ad
Andorran	AdORA
Andorrans	AdORA
Andorre	AdOR
André	andRe
Angers	AZe
Anglais	AglE
Anglaise	AglEz
Anglaises	AglEz
Angleterre	Agl@tER
Angola	AgOla
Angolais	AgOlE
Angolaise	AgOlEz
Angolaises	AgOlEz
Ankara	AkaRa
Annapurna	anapuRna
Annaud	ano
Anne	an
Annemasse	an@mas
Antarctique	AtaRktik
Antilles	Atij
Antoine	Atwan
Anvers	AvER
Apollon	apOlN
Aquitaine	akitEn
Arabe	aRab
Arabes	aRab
Arabie	aRabi
Aragon	aRagN
Arctique	aRtik
Argentine	aRZAtin
Arizona	aRizOna
Arkansas	aRkAsas
Arménie	aRmeni
Arménien	aRmenje~
Arméniens	aRmenje~
Asiatique	asjatik
Asiatiques	asjatik
Asie	azi
Assemblée	asAble
Assemblées	asAble
Association	asosjasjN
Associations	asosjasjN
Assurance	asyRAs
Assurances	asyRAs
Atchoum	atSum
Athènes	atEn
Atlanta	atlAta
Atlantique	atlAtik
Atlas	atlas
Aurillac	oRijak
Australie	ostRali
Australien	ostRalje~
Australienne	ostRaljEn
Australiennes	ostRaljEn
Australiens	ostRalje~
Autosécur	otOsekyR
Autriche	otRiS
Autrichien	otRiSje~
Autrichienne	otRiSjEn
Autrichiennes	otRiSjEn
Autrichiens	otRiSje~
Auvergne	oveRnj
Avignon	avinjN
Azouz	azuz
Açores	asOR
B	be
BASF	baEsEf
BBC	bibisi
BD	bede
BMW	beEmve
BSN	beEsEn
Babar	babaR
Babel	babEl
Bacchus	bakys
Bach	bak
Bagdad	bagdad
Bahamas	baamas
Bali	bali
Balkans	balkA
Baltimore	baltimOR
Balzac	balzak
Bangkok	bAgkOk
Bangladesh	bAgladES
Banque	bAk
Banques	bAk
Barbade	baRbad
Barcelone	baRs@lOn
Bas-Rhin	baRe~
Basque	bask
Basques	bask
Baudelaire	bod2lER
Baule	bol
Bavière	bavjER
Beatles	bit9ls
Beaubourg	bobuR
Beauce	bos
Beaujolais	boZOlE
Becquerel	bEkREl
Beethoven	betovEn
Belfast	bElfast
Belfort	bElfOR
Belge	bElZ
Belges	bElZ
Belgique	bElZik
Belgrade	bElgRad
Bellegarde	bEl@gaRd
Ben	bEn
Benoît	b@nwa
Berlin	bERle~
Bermudes	bERmyd
Bernard	bERnaR
Berne	bERn
Bertrand	bERtRA
Besançon	b2zAsN
Beyrouth	beRut
Bhoutan	butA
Bibliothèque	biblijotEk
Bibliothèques	biblijotEk
Birmanie	biRmani
Boeing	boig
Boeings	boig
Bogota	bogota
Bolivie	bOlivi
Bolivien	bOlivje~
Bolivienne	bOlivjEn
Boliviennes	bOlivjEn
Boliviens	bOlivje~
Bologne	bOlOnj
Bombay	bNbE
Bonn	bOn
Bordeaux	bORdo
Bordelais	boRd@lE
Bosniaque	bosnjak
Bosniaques	bosnjak
Bosphore	bOsfOR
Boston	bOstOn
Bouddha	buda
Bouddhas	buda
Bourgogne	buRgonj
Bourse	buRs
Bourses	buRs
Brasilia	bRazilja
Brazzaville	bRazavil
Brecht	bRESt
Brest	bREst
Bretagne	bR@tanj
Breton	bR2tN
Bretonne	bR2tOn
Bretonnes	bR2tOn
Bretons	bR2tN
Britannique	bRitanik
Britanniques	bRitanik
Broadway	bROdwE
Brooklyn	bRuklin
Bruxelles	bRysEl
Brésil	bRezil
Brésilien	bRezilje~
Brésiliens	bRezilje~
Bucarest	bykaREst
Budapest	bydapEst
Buenos-Aires	bHenozER
Bulgarie	bylgaRi
Burundi	buRundi
Bush	buS
Byzance	bizAs
Bâle	bal
Bénin	bene~
Bénédicte	benedikt
Bénélux	benelyks
C.N.R.S.	seEnEREs
C.V.	seve
CD-ROM	sedeROm
CD-Rom	sedeROm
CD-Roms	sedeROm
CFDT	seEfdete
CGC	seZese
CGE	seZe2
CGT	seZete
CIA	seia
CIO	seio
CNPF	seEnpeEf
CNRS	seEnEREs
CRS	seEREs
CV	seve
Cachemire	kaS@miR
Cachemirien	kaS@miRje~
Cachemiriens	kaS@miRje~
Caen	kA
Cagliari	kaglijaRi
Caire	kER
Calcutta	kalkyta
Calgary	kalgaRi
Californie	kalifORni
Camargue	kamaRg
Cambodge	kAbOdZ
Cambodgien	kAbOdZje~
Cambodgienne	kAbOdZjEn
Cambodgiennes	kAbOdZjEn
Cambodgiens	kAbOdZje~
Cambridge	kAbRidZ
Cameroun	kamRun
Canada	kanada
Canadien	kanadje~
Canadienne	kanadjEn
Canadiennes	kanadjEn
Canadiens	kanadje~
Canberra	kAbeRa
Cannes	kan
Canton	kAtN
Caracas	kaRakas
Caraïbes	kaRajb
Carpates	kaRpat
Carême	kaREm
Carêmes	kaREm
Casablanca	kazablAka
Casanova	kazanova
Catherine	kat@Rin
Caucase	kOkaz
Celsius	sElsjys
Centre	sAtR
Centres	sAtR
Cervantès	sERvAtEs
Ceylan	selA
Chabrol	SabROl
Chambéry	SAbeRi
Chamonix	Samoni
Champagne	SApanj
Champs-Elysées	SAzElize
Cherbourg	SERbuR
Chevènement	S@vEnmA
Chicago	Sikago
Chili	Sili
Chilien	Silje~
Chiliens	Silje~
Chine	Sin
Chinois	Sinwa
Chinoise	Sinwaz
Chinoises	Sinwaz
Christ	kRist
Christian	kRistjA
Christophe	kRistOf
Christs	kRist
Chypre	SipR
Châteauneuf-du-Pape	Saton9fdypap
Cisjordanie	sisZORdani
Claude	klod
Clermont-Ferrand	klERmNfERA
Clichy	kliSi
Cléopâtre	kleOpatR
Coca-Cola	kokakOla
Coca-Colas	kokakOla
Cocteau	kOkto
Cologne	kOlOnj
Colomb	kOlN
Colombie	kOlNbi
Colombien	kOlNbje~
Colombiens	kOlNbje~
Colorado	kOlORadO
Commission	kOmisjN
Commissions	kOmisjN
Communauté	kOmynote
Communautés	kOmynote
Compagnie	kNpanji
Compagnies	kNpanji
Conakry	kOnakRi
Confucius	kNfysjys
Confédération	kNfedeRasjN
Confédérations	kNfedeRasjN
Congo	kNgO
Congrès	kNgRE
Conseil	kNsEj
Conseils	kNsEj
Conservatoire	kNsERvatwaR
